STATE,CITY,LOCATION,ENERGY,,AREA,ESTABLISHED,DOWNLOADS,FULLY_BUILT_OUT_POWER,FULLY_BUILT_OUT_WHITESPACE,TOTAL_BUILDING_SIZE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,MAX_POWER_AREA,UPS_REDUNDANCY,COOLING_REDUNDANCY,STANDBY_POWER_REDUNDANCY,TIER_DESIGN,DSS_PCI_CERTIFIED,ISO27001_CERTIFIED,HIPAA,SOC_2_TYPE_II_CERTIFIED,SOC_3_TYPE2_CERTIFIED,NIST_800_53,CCTV_SURVEILLANCE,BIOMETRIC_ACCESS_CONTROL,CARD_ACCESS_CONTROL,ONSITE_SECURITY_STAFF,ONSITE_TECHNICAL_STAFF,YEAR_OPERATIONAL,ROOF_ACCESS,BUILDING_FLOORS,MAX_FLOOR_LOAD,MEET_ME_ROOM_MMR,INTERNET_EXCHANGE_POINTS,PEERING_NETWORKS,NETWORK_PROVIDERS,TENANTS_OFFERING_COLOCATION,CHILD_DATA_CENTER_LISTINGS,Source_File
ID,Boise,Ark Data Centers Boise 2,,,,,{},,,,Yes,Yes,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,idaho-flattened.csv
ID,Kuna,Meta Kuna Data Center,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idaho-flattened.csv
NY,New York,60 Hudson Street (JFK12),2.5 MW,,"38,400 SQ.F.",EST. 1930,{},2.5 MW,"38,400 sq.f.","1,800,000 sq.f.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,0.150 kW/sq.f.,N+1,N+1,N+1,,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,"Yes, 24/7","Yes, 24/7",1930,Yes,24,125 Lb/sq.f.,,4,153,14,10,,ny-flattened.csv
NY,New York,111 Eight Avenue (JFK10),5.5 MW,,"50,100 SQ.F.",EST. 1932,{},5.5 MW,"50,100 sq.f.","109,600 sq.f.",Yes,Yes,No,Yes,Yes,No,Yes,Yes,0.2 kW/sq.f.,N+1,N+1,N+1,,Yes,,No,Yes,Yes,No,Yes,Yes,Yes,"Yes, 24/7","Yes, 24/7",1932,Yes,,200 Lb/sq.f.,,2,128,1,2,,ny-flattened.csv
NY,Orangeburg,1 Ramland,12 MW,,"100,000 SQ.F.",EST. 2017,{},12 MW,"100,000 sq.f.","232,000 sq.f.",Yes,No,No,No,No,No,Yes,Yes,1 kW/sq.f.,N+2,N+1,N+1,,,,,,,,Yes,Yes,Yes,"Yes, 24/7",,2017,,,,,,,,1,2,ny-flattened.csv
NY,Garden City,Opti9 NY1,4 MW,,"25,000 SQ.F.",EST. 2002,{},4 MW,"25,000 sq.f.",,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,200 kW/sq.f.,2N,N+2,N+1,Tier 3,,,Yes,,,,,,,"Yes, 24/7","Yes, 24/7",2002,Yes,,,Yes,1,5,6,1,,ny-flattened.csv
NY,New York,Hudson InterXchange,6 MW,,"120,000 SQ.F.",EST. 2011,{},6 MW,"120,000 sq.f.","840,000 sq.f.",,,Yes,Yes,Yes,,Yes,Yes,,N+1,N+1,N+1,,,,,,,,Yes,,Yes,"Yes, 24/7","Yes, Biz-hours",2011,Yes,24,-1 Lb/sq.f.,,,1,,,,ny-flattened.csv
WA,Seattle,2001 Sixth Avenue (SEA10),19.5 MW,,"398,600 SQ.F.",EST. 1981,{},19.5 MW,"398,600 sq.f.","4,004,000 sq.f.",Yes,Yes,No,Yes,No,No,Yes,Yes,,N+2,N+1,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,"Yes, 24/7","Yes, 24/7",1981,Yes,34,,,,229,2,3,,washington-flattened.csv
WA,Seattle,The Westin Building,19 MW,,"300,000 SQ.F.",EST. 1981,{},19 MW,"300,000 sq.f.","386,103 sq.f.",,,,,,,,,,,,,Tier 3,,,Yes,,,,,,,"Yes, 24/7",,1981,Yes,34,,Yes,2,,8,2,14,washington-flattened.csv
WA,Seattle,ColoCrossing SEA1,10 MW,,"18,000 SQ.F.",EST. 1999,{},10 MW,"18,000 sq.f.",,Yes,Yes,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,,Yes,Yes,Yes,,,1999,,,,,,3,,,,washington-flattened.csv
WA,Seattle,ColoInSeattle.com,2 MW,,"18,000 SQ.F.",EST. 2001,{},2 MW,"18,000 sq.f.",,Yes,Yes,Yes,Yes,No,No,Yes,Yes,,,N+1,,,,,,,,,,,,No,,2001,Yes,,,Yes,,,,,,washington-flattened.csv
VA,Ashburn,43830 Devin Shafron Drive (IAD24),6.8 MW,,"57,700 SQ.F.",EST. 2011,{},6.8 MW,"57,700 sq.f.","113,300 sq.f.",,,,,,,,,,2N,N+1,,Tier 3,,,,,,,,,,"Yes, 24/7","Yes, 24/7",2011,,1,,,,6,,,1,virginia-flattened.csv
VA,Ashburn,"44274 Round Table Plaza, Bldg L (IAD39)",96.3 MW,,"469,600 SQ.F.",EST. 2017,{},96.3 MW,"469,600 sq.f.","1,057,000 sq.f.",,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,1,9,,,,virginia-flattened.csv
VA,Ashburn,"44372 Round Table Plaza, Bldg M (IAD40)",24 MW,,"69,600 SQ.F.",EST. 2017,{},24 MW,"69,600 sq.f.",,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,virginia-flattened.csv
VA,Ashburn,43791 Devin Shafron Drive (IAD14),6.9 MW,,"51,400 SQ.F.",EST. 2010,{},6.9 MW,"51,400 sq.f.","135,000 sq.f.",,,,,,,,,,2N,N+1,,,,,,,,,,,,"Yes, 24/7",,2010,,1,,,,3,,,,virginia-flattened.csv
VA,Ashburn,43881 Devin Shafron Drive (IAD12),9 MW,,"57,100 SQ.F.",EST. 2001,{},9 MW,"57,100 sq.f.","180,000 sq.f.",,,,,,,,,,2N,N+1,,,,,,,,,,,,"Yes, 24/7","Yes, 24/7",2001,,,,,,3,,,,virginia-flattened.csv
VA,Ashburn,43940 Digital Loudoun Plaza (IAD35),26.4 MW,,"223,800 SQ.F.",EST. 2013,{},26.4 MW,"223,800 sq.f.","392,000 sq.f.",,,,,,,,,,2N,N+1,,,,,,,,,,,,"Yes, 24/7",,2013,,1,,,,2,,,,virginia-flattened.csv
VA,Ashburn,"22124 Broderick Drive, Bldg R (IAD42)",48 MW,,"208,200 SQ.F.",EST. 2021,{},48 MW,"208,200 sq.f.",,,,,,,,,,,,,,,,,,,,,,,,,,2021,,,,,,,,,,virginia-flattened.csv
VA,Ashburn,NTT Ashburn VA1,12.6 MW,,"64,723 SQ.F.",EST. 2000,{},12.6 MW,"64,723 sq.f.",,,,,,,,,,,N+2,N+2,N+2,Tier 4,,,,,,,,,,"Yes, 24/7","Yes, 24/7",2000,,1,,,,22,2,7,,virginia-flattened.csv
VA,Ashburn,Aligned IAD-02,120 MW,,"283,023 SQ.F.",EST. 2020,{},120 MW,"283,023 sq.f.","438,460 sq.f.",,,,,,,,,,,,,,,,,,,,,,,"Yes, 24/7",,2020,,,,,,1,,,,virginia-flattened.csv
